Star-rating,Name,Reviewer Profile Url,Review Title,Review Content,images,profile icon,Date,Response Tags
4.0 out of 5 stars,Dillip,https://www.amazon.in/gp/customer-reviews/R358NYWUQLR163/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, great product under low price range,"Pros:
1. The level of volume it gets to, is just awesome, it can get incredibly loud so if you're at the gym, these are perfect.
2. Awesome Bass!
3. Noise cancellation is just great, if you simply put them on without even any music playing, u won't be able to hear things around u very well, it's great for places like Gym.
4. Lovely battery life, I've had them a week and only had to charge the case once, that too for just a few minutes. And the earbuds themselves, leave them in case for just five min and you'll be getting battery for a long long while.
5. They are very comfortable, can be used for long periods of time.
6. Affordable!
7. The touch controls are very responsive, tap to pause, double tap right one for next song, double tap left one for either rewind or previous song. Can also pick up calls just by tapping.
8. Multiple ear coverings are provided with it.
9. Type C port

Cons:
1. The sound quality is not bad or anything but it is slightly muffled as compared to good quality headphones etc. The bass is the highlight so it's great for music, but for movies or gaming, you won't get the most crisp audio.
2. Some connectivity issues, sometimes i have to turn my Bluetooth on and off many times for it to work (this is occasional, not a daily or frequent occurrence) [Edit after 1 month use: it's now a very frequent issue]
3. The mic quality is good if you are using your phone, but for some reason the quality is really bad if you are on PC
4. Sometimes on WhatsApp, the mic will not be detected if you are on call with these earbuds, so you will end up having to take them off to accept a call sometimes. (Not an issue if you are the one dialing) i hope it's just a whatsapp issue rather than earbuds issue.

Overall, I needed these for my gym since they play horrible music there (lol) so I'm very very happy with them
Highly recommended for music and/or as a more affordable option as compared to JBL etc.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 2 January 2023,"

Positive: Volume, Bass, Noise cancellation, Battery life, Comfort, Affordable, Touch controls, Multiple ear coverings, Type C port.

Negative: Sound quality, Connectivity issues, Mic quality, WhatsApp issue."
3.0 out of 5 stars,Praveen1908E,https://www.amazon.in/gp/customer-reviews/RN2D22H0MNWON/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, BEST For music! Totally worth it Edit: Not worth it :/,"Pros:
1. The level of volume it gets to, is just awesome, it can get incredibly loud so if you're at the gym, these are perfect.
2. Awesome Bass!
3. Noise cancellation is just great, if you simply put them on without even any music playing, u won't be able to hear things around u very well, it's great for places like Gym.
4. Lovely battery life, I've had them a week and only had to charge the case once, that too for just a few minutes. And the earbuds themselves, leave them in case for just five min and you'll be getting battery for a long long while.
5. They are very comfortable, can be used for long periods of time.
6. Affordable!
7. The touch controls are very responsive, tap to pause, double tap right one for next song, double tap left one for either rewind or previous song. Can also pick up calls just by tapping.
8. Multiple ear coverings are provided with it.
9. Type C port

Cons:
1. The sound quality is not bad or anything but it is slightly muffled as compared to good quality headphones etc. The bass is the highlight so it's great for music, but for movies or gaming, you won't get the most crisp audio.
2. Some connectivity issues, sometimes i have to turn my Bluetooth on and off many times for it to work (this is occasional, not a daily or frequent occurrence) [Edit after 1 month use: it's now a very frequent issue]
3. The mic quality is good if you are using your phone, but for some reason the quality is really bad if you are on PC
4. Sometimes on WhatsApp, the mic will not be detected if you are on call with these earbuds, so you will end up having to take them off to accept a call sometimes. (Not an issue if you are the one dialing) i hope it's just a whatsapp issue rather than earbuds issue.

Overall, I needed these for my gym since they play horrible music there (lol) so I'm very very happy with them
Highly recommended for music and/or as a more affordable option as compared to JBL etc.

edit:
I still stand by everything i said but after a month of using these I'm facing a lot of annoying issues.
1. They pause music at the slightest of touch when you try to adjust them, but then other times they will ignore the hardest of touch when you are ACTUALLY trying to pause your music. And double tap for next song gesture doesn't work anymore idk why.
2. Biggest issue, left ear bud stops charging constantly. My earbuds case is totally clean, but it keeps showing me ""10% battery remaining"" warning on my phone even if i leave this to charge for hours. Right one is just fine but left one just stops charging very often now and it doesn't get fixed for days, i have to hold the earbud down into the case for a long while and even then it can only MAYBE work.
3. All the factory reset and all stuff to sort these issues don't work when one of the earbuds is totally dead and unable to charge.
4. They are too soft and can easily fall out of ears if you make facial expressions for a minute or two. Only good for gym, bad for content viewing because you might laugh or smile.

That's about it but this left earbud not working issue that i keep having is just really annoying. I don't know if this is just my issue with my specific unit though.","https://m.media-amazon.com/images/I/61BlOWA3UdL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/d06abbfe-5e15-4dc5-9909-407eb11f815a._CR224,0,536,536_SX48_.png",Reviewed in India ???? on 1 August 2022,"

Positive:
The level of volume, Awesome Bass, Noise cancellation, Lovely battery life, Comfortable, Affordable, Touch controls, Multiple ear coverings, Type C port.

Negative:
Muffled sound quality, Connectivity issues, Poor mic quality, Mic not detected on WhatsApp, Pauses music, Left ear bud stops charging, Soft and can easily fall out of ears."
4.0 out of 5 stars,Anindya,https://www.amazon.in/gp/customer-reviews/R3LJ3MMSH7Z1BT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, Beast in budget!,"Bought it in January,posting it in August. So i've used it almost 6 months and giving honest review.
In short if you are getting it during sale time @899-999,then it's a steal deal..also in regular price b/w 1299-1499 it's a good product..
Sound quality is good. Enough loud at 50-60% volume. Bass is also ok. Whenever needed it produces punchy bass. Overall balanced.
Mic quality is good in indoor condition,but in noisy environment you can't rely on this. Recevier can't clearly listen to you.
You can do gaming as company claiming low latency,i myself didn't test it.
Now about battery backup,company claim it will give battery backup of 42 hours with case. 6 hours in single charge+Additional 36 hours(6 times charge via case). But in practical use it gives total 35 hours playback. It will give around 5 hours backup on single charge of buds @ 50-60% volume(if you only listen to music or watching video,but no call or gaming) You can charge the earbuds full 6 times via case: so additional 30 hours.
Just one issue with it's design,suit case type box & not easy to carry in pocket. I would say it's a personal preference. If you are into good looks,design then it's not for you.
Now it's regular pricing varries between Rs 1299-1499. In this price range also it is one of the best tws under 1500. I will tell why.. now a days many brands are launching tws in the market under 1500. Most of them sound almost similar, difference is like 19/20!! They are just marketing their tws with huge hours of battery backup & by youtubers,reviewers. 48/50 hours of playtime is just myth. I've personally used Truke(Airbuds lite,Buds F1) which is by far the most false promising brand claiming 48 hours of battery in their every tws,but only give 21 hours. Even other tws of boat(Airdopes 121 pro) which claim 40-45 hours playback only give around 25 hours,Defy Gravity Z claiming 50 hours only give 28 hours. If you are impressed by their looks & huge battery backup and thinking to buy those,you will be disappointed after purchase. Instead go with this,you will not be disappointed.","https://m.media-amazon.com/images/I/31QhZYe6glL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/a099fa85-8f0e-437b-81a6-398cedc1a2d5._CR84,0,332,332_SX48_.jpg",Reviewed in India ???? on 5 August 2022,"

Positive: Sound quality, Mic quality, Battery backup, Good value
Negative: Design, False promises"
4.0 out of 5 stars,Kumardip Saha,https://www.amazon.in/gp/customer-reviews/R1J7IYVO6KRY24/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, Balanced Product,"Product is really good according to the price point. The sound quality is quite good, the bass is decent, battery life is also good but there are some negative side firstly the build quality not feels really good in hand and secondly the mic OMG the mic is so horribly bad, I have tried it in different situations but really not impressed with the mic output. Overall the product is good ?? you can buy it.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 14 February 2023,"

Positive: Price, Sound Quality, Bass, Battery Life
Negative: Build Quality, Mic"
4.0 out of 5 stars,Karthick,https://www.amazon.in/gp/customer-reviews/R1L0LJYHBMYTSG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, 1 year urage review,"Simply...This the best TWS in this budget segment. I ordered it 1 year before and still I'm using it. Some pros and cons also in the product let me tell.

Pros
*The sound quality and bass quality is amazing in this budget.
*Touch control is useful to control (previous,next song and activate beast mood)
*Comfort when you wear is good. I wear it when riding bike almost 4+ hours and nothing hurt my ear.

Cons
*The main problem is when you play song the TWS automatically disconnect and reconnect within 10 to 15 seconds. This will happen 3 to 4 times when i wear 4+hours...when i watching videos sometimes it will disconnect and reconnect again...Dont worry this will not cause a problem but irritating thing in this TWS
*Bluetooth range is ok ok. You have to take the mobile in your packet.
*The case is bigger..when i take TWS outside the case in my packet will be visible bigger to everyone..this is annoying

Rather than this is good TWS..Go for it",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 31 January 2023,"

Positive: Sound quality, Bass quality, Touch control, Comfort, Bluetooth range
Negative: Disconnects, Bigger case"
4.0 out of 5 stars,Rio,https://www.amazon.in/gp/customer-reviews/R28DE7HT8H0Z7I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, Buy If it's in offer only I bought this in 1000 rs,"If ur budget is 1500 to 2000 buy someother product for 1000rs means its worth for that... above 1500 lots of brands available like real me , boult , oppo , boat 172 ,etc... only worth for 1000/-","https://m.media-amazon.com/images/I/51LgXaS33ML.88.jpg  
https://m.media-amazon.com/images/I/51yC6V-NTsL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 14 February 2023,"

Positive: Worth

Negative: None"
4.0 out of 5 stars,Aksh,https://www.amazon.in/gp/customer-reviews/R10KGLQF7TSAKT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, Love the product ?? ??,I love the product the noise cancelation is amazing it just feel like you get into a new world of music because of noise cancelation you didn't even hear a single noise of outside and the sound of the buds is good if you play your audio in low volume you get amazing experience and the bass is superb ?? yeh I can say that you can invest in this product and it is very easy to connect you just need to connect the buds just only for the first time and after you just need to open the led to connect it just take 1-2 seconds to connect...................................,"https://m.media-amazon.com/images/I/51zcZ8kp1oL.88.jpg  
https://m.media-amazon.com/images/I/61SOxdlgtJL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/f592199c-629a-4f20-872a-03bf46456a97._CR0,45.0,242,242_SX48_.jpg",Reviewed in India ???? on 27 January 2023,"

Positive: Love, Amazing, Good, Superb, Invest, Easy, Connect.

Negative: None."
4.0 out of 5 stars,Sonu saw,https://www.amazon.in/gp/customer-reviews/R2IZJFAL2T3IJ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, Nice product,One of the best earbud from boat in cheapest price. Sound quality is good.battery standby is awesome. It's look very cool. Overall it's good.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 15 February 2023,"

Positive: Best, Cheapest, Good, Awesome, Cool, Overall Good.

Negative: None."
3.0 out of 5 stars,Sabarivasan S K,https://www.amazon.in/gp/customer-reviews/R28EVXOFS7OUE6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, BUY ONLY IF YOU'RE USING IT FOR MEDIA USAGE,"Play Video
 Okay product for the price range. Bought it for 1399. First received an used item and replaced it. Second time im not sure i got new one or not but all the features were working.

Following are the pros and cons in my pov.
Pros:
1. Battery Beast, buds can last 4.30 - 5.30 hrs. I almost charging the case once a week only.
2. Instant pair is shiftly working.
3. Capacitive touch is very responsive.
Cons:
1. I bought it for 1399 but after a week the price reduced to 1099. I feel like cheated by Amazon. 300 bucks ??.
2. Case is little big than other tws also the hinge is not too strong. Cheap quality plastic for both case and buds.
3. Capacitive touch is very responsive, sometimes the touch works even without touching it. Also while adjusting the bud you have to adjust the lower part otherwise the touch will pause or play.
4. One more thing i noticed is suppose of you're keeping one in case with song playing it continues to play until you close the lid.
5. To high bass, ear pains if listened in 100% volume. No issues if I listen in 60-80% volume.
6. Call quality or recording is too poor.
7. Not for gaming, even on the beast mode lags at times.

Reduced 2 stars, one for the 300 bucks cheated by amazon, one for the overall cons",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 4 February 2023,".

Positive: Battery Beast, Instant pair, Capacitive touch responsive
Negative: Price reduced, Cheap quality plastic, Touch works without touching, Poor call quality, Not for gaming"
4.0 out of 5 stars,Anuradha_S,https://www.amazon.in/gp/customer-reviews/R103FFJJXD2VX4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09N3ZNHTY, REALLY Satisfied,"The sound quality is excellent, battery life is excellent, charges from almost zero to full in like 30 minutes, call quality is good too, and Don't even ask me about the noise cancellation - one time I got scolded really bad because I had these on and I couldn't hear my parents literally just outside the door calling for me! Worth it in every way.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India ???? on 31 January 2023,"

Positive:
- Sound quality
- Battery life
- Charges quickly
- Call quality

Negative:
- Noise cancellation"
